source,target,hits
/nocomm50.html,/?p=114,190
/n50-.*,/?p=114,2785
/a50-.*,/?p=114,577
/c50-.*,/?p=114,160
/nocomm34.html,/?p=81,85
/n34-.*,/?p=81,725
/a34-.*,/?p=81,71
/c34-.*,/?p=81,131
/nocomm24.html,/?p=60,57
/n24-.*,/?p=60,683
/a24-.*,/?p=60,1089
/c24-.*,/?p=60,35
/nocomm19.html,/?p=52,49
/n19-.*,/?p=52,458
/a19-.*,/?p=52,57
/c19-.*,/?p=52,1924
/nocomm1.html,/?p=6,7
/n1-.*,/?p=6,36
/a1-.*,/?p=6,26
/c1-.*,/?p=6,30
/nocomm2.html,/?p=8,11
/n2-.*,/?p=8,52
/a2-.*,/?p=8,25
/c2-.*,/?p=8,16
/nocomm3.html,/?p=12,7
/n3-.*,/?p=12,30
/a3-.*,/?p=12,43810
/c3-.*,/?p=12,21
/nocomm4.html,/?p=14,660
/n4-.*,/?p=14,729
/a4-.*,/?p=14,68
/c4-.*,/?p=14,407
/nocomm5.html,/?p=18,673
/n5-.*,/?p=18,144
/a5-.*,/?p=18,41
/c5-.*,/?p=18,42
/nocomm6.html,/?p=20,11
/n6-.*,/?p=20,134
/a6-.*,/?p=20,3862
/c6-.*,/?p=20,19
/nocomm7.html,/?p=22,4
/n7-.*,/?p=22,240
/a7-.*,/?p=22,678
/c7-.*,/?p=22,134
/nocomm8.html,/?p=24,7
/n8-.*,/?p=24,151
/a8-.*,/?p=24,147
/c8-.*,/?p=24,11
/nocomm9.html,/?p=30,91
/n9-.*,/?p=30,70
/a9-.*,/?p=30,3311
/c9-.*,/?p=30,27
/nocomm10.html,/?p=34,12
/n10-.*,/?p=34,155
/a10-.*,/?p=34,2786
/c10-.*,/?p=34,18
/nocomm11.html,/?p=36,14
/n11-.*,/?p=36,207
/a11-.*,/?p=36,2593
/c11-.*,/?p=36,2258
/nocomm12.html,/?p=38,17
/n12-.*,/?p=38,584
/a12-.*,/?p=38,2300
/c12-.*,/?p=38,191
/nocomm13.html,/?p=40,420
/n13-.*,/?p=40,133
/a13-.*,/?p=40,133
/c13-.*,/?p=40,18
/nocomm14.html,/?p=42,397
/n14-.*,/?p=42,177
/a14-.*,/?p=42,494
/c14-.*,/?p=42,21
/nocomm15.html,/?p=44,108
/n15-.*,/?p=44,4718
/a15-.*,/?p=44,424
/c15-.*,/?p=44,36
/nocomm16.html,/?p=46,17
/n16-.*,/?p=46,564
/a16-.*,/?p=46,425
/c16-.*,/?p=46,11
/nocomm17.html,/?p=48,44
/n17-.*,/?p=48,493
/a17-.*,/?p=48,697
/c17-.*,/?p=48,154
/nocomm18.html,/?p=50,52
/n18-.*,/?p=50,427
/a18-.*,/?p=50,2328
/c18-.*,/?p=50,22
/nocomm20.html,/?p=54,61
/n20-.*,/?p=54,512
/a20-.*,/?p=54,19
/c20-.*,/?p=54,85
/nocomm21.html,/?p=56,64
/n21-.*,/?p=56,180
/a21-.*,/?p=56,656
/c21-.*,/?p=56,1664
/nocomm22.html,/?p=58,104
/n22-.*,/?p=58,737
/a22-.*,/?p=58,2603
/c22-.*,/?p=58,99
/nocomm23.html,/?p=149,61
/n23-.*,/?p=149,537
/a23-.*,/?p=149,20
/c23-.*,/?p=149,21
/nocomm25.html,/?p=62,723
/n25-.*,/?p=62,2279
/a25-.*,/?p=62,20703
/c25-.*,/?p=62,117
/nocomm26.html,/?p=64,54
/n26-.*,/?p=64,524
/a26-.*,/?p=64,36
/c26-.*,/?p=64,124
/nocomm27.html,/?p=66,54
